taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,,,จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์,113190,113100,False,False,"121600-จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์เป็นหลักทรัพย์-เงินลงทุนระยะยาว - สุทธิ-The input query's meaning is close to investment in a specific purpose entity for asset securitization. Although there is no directly matching item, ""เงินลงทุนระยะยาว - สุทธิ"" (Long-Term Investments - Net) is the closest match as it broadly covers various debt and equity instruments held for over 12 months. | "
ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี,,,ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี,113000,119999,False,False,"112200-ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี-ลูกหนี้ตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ-The input mentions an asset related to a lease that is due within one year. The taxonomy item ""ลูกหนี้ตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ"" (Current Portion Of Lease Receivables - Net) matches this description most closely. | "
สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,False,True,
ลูกหนี้การค้า,,,ลูกหนี้การค้า,122040,122000,False,False,"112040-ลูกหนี้การค้า-ลูกหนี้การค้า-The query matches the item_in_taxonomy ""ลูกหนี้การค้า"" in the taxonomy list. An item in taxonomy list with fs_category as สินทรัพย์ is selected. | 112040-ลูกหนี้การค้า-ลูกหนี้การค้า-The input query 'ลูกหนี้การค้า' matches directly with 'item_in_taxonomy' in the Taxonomy list. And the input metadata 'fs_category' is 'สินทรัพย์' which is a broader category of 'สินทรัพย์หมุนเวียน' in the Taxonomy list. | "
ลูกหนี้อื่น,,,ลูกหนี้อื่น,123140,123100,False,False,"113130-ลูกหนี้อื่น-สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น-The INPUT is ลูกหนี้อื่น and the INPUT METADATA financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus, the most relevant item from the Taxonomy list is where set_code is 113130 and item_in_taxonomy is สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น. | 113130-ลูกหนี้อื่น-สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น-The input 'ลูกหนี้อื่น' is a general term, but the provided financial statement category is 'สินทรัพย์'. From the taxonomy list, the most relevant item considering the input name and financial statement category is 'สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น' with SET Code '113130'. | "
เงินให้สินเชื่อจากการซื้อลูกหนี้,,,เงินให้สินเชื่อจากการซื้อลูกหนี้,122050,122000,False,False,"112050-เงินให้สินเชื่อจากการซื้อลูกหนี้-ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ-The query 'เงินให้สินเชื่อจากการซื้อลูกหนี้' matches the definition of 'ลูกหนี้เงินให้สินเชื่อ' in the taxonomy list, specifically the part mentioning 'บางครั้งใช้ขื่อว่า เงินให้สินเชื่อจากการซื้อลูกหนี้'. The input metadata specifies 'financial_statement_type' as 'งบฐานะการเงิน' and 'fs_category' as 'สินทรัพย์', which corresponds to the taxonomy list items with 'financial_statement_type' as 'BS_A'. Although there are two options in the taxonomy list, 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ' and 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ', without further information on the due date of the loan, it's best to choose the broader category, which is 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ'. | 515800-เงินให้สินเชื่อจากการซื้อลูกหนี้-ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อ (เพิ่มขึ้น) ลดลง-The most relevant item considering the provided context and query is 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อ (เพิ่มขึ้น) ลดลง' because the fs_category is กิจกรรมดำเนินงาน, which corresponds to the input metadata fs_category กระแสเงินสดจากกิจกรรมดำเนินงาน. | "
สินทรัพย์ไม่หมุนเวียนอื่น,129900,สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,False,True,
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,,,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,False,False,
เจ้าหนี้อื่น,211100,เจ้าหนี้อื่น,เจ้าหนี้อื่น,211160,211100,False,True,
เงินกู้ยืมระยะยาว,,,เงินกู้ยืมระยะยาว,211890,211800,False,False,"221800-เงินกู้ยืมระยะยาว-หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี-The input 'เงินกู้ยืมระยะยาว' matches the broader category of long-term loans. Considering the provided fs_category 'หนี้สินและส่วนของผู้ถือหุ้น', the closest match in the taxonomy list is 'หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี' (Non-Current Portion Of Long-Term Debts) with SET Code 221800. This option aligns with the general definition of long-term debts. | 221800-เงินกู้ยืมระยะยาว-หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี-The input name 'เงินกู้ยืมระยะยาว' closely translates to long-term loans. Although the input metadata mentions 'หนี้สินและส่วนของผู้ถือหุ้น' (Liabilities and Shareholder's Equity), there's no perfect match for this broad term in the provided taxonomy. Therefore, we focus on the more specific term 'เงินกู้ยืมระยะยาว' and find the closest match in the taxonomy, which is 'หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี' (Non-Current Portion Of Long-Term Debts). | "
