taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
เงินลงทุนในการร่วมค้า,,,เงินลงทุนในการร่วมค้า,102730,102700,False,False,102630-เงินลงทุนในการร่วมค้า-เงินลงทุนในการร่วมค้า-The input query and metadata match multiple items in the taxonomy.  Selecting the item with the shortest name as the best match. | 
ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,,,ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,102000,109999,False,False,"102050-ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ-เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ เงินให้สินเชื่อแก่ลูกหนี้-ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ matches the definition of เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ เงินให้สินเชื่อแก่ลูกหนี้ in the taxonomy list. Therefore, the most relevant mapping is set_code 102050, item_in_taxonomy เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ เงินให้สินเชื่อแก่ลูกหนี้. | "
เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,,,เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ,109900,109999,False,False,"104900-เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ-เงินรอรับจากการขายทอดตลาด-The closest match from the provided taxonomy list is 'เงินรอรับจากการขายทอดตลาด' (Accrued Income From Auction Sale) as it refers to payments related to property purchases in an auction, aligning with the input query's mention of fees for property acquisition. | "
รวมสินทรัพย์,,,รวมสินทรัพย์,109999,,False,False,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
ดอกเบี้ยค้างจ่าย,,,ดอกเบี้ยค้างจ่าย,209900,209999,False,False,"204010-ดอกเบี้ยค้างจ่าย-เจ้าหนี้ภาษีค้างจ่าย-The input keyword ""ดอกเบี้ยค้างจ่าย"" implies to accrued interest payable, which is categorized under liabilities. The closest match from the provided taxonomy list is ""เจ้าหนี้ภาษีค้างจ่าย"" with the set code 204010, as it also represents a liability related to accrued expenses. | "
ภาษีค้างจ่าย,,,ภาษีค้างจ่าย,209900,209999,False,False,"204010-ภาษีค้างจ่าย-เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย-The input 'ภาษีค้างจ่าย' is a general term for tax payable. 
- The input metadata specifies 'fs_category' as 'หนี้สินและส่วนของเจ้าของ หนี้สิน', indicating liabilities.
- Analyzing the Taxonomy list, the closest match is 'เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย' with SET Code '204010', as it covers various tax payables and aligns with the input metadata's fs_category. | "
ค่าใช้จ่ายค้างจ่าย,,,ค่าใช้จ่ายค้างจ่าย,209900,209999,False,False,"204010-ค่าใช้จ่ายค้างจ่าย-เจ้าหนี้ภาษีค้างจ่าย-The INPUT's financial_statement_type is งบฐานะการเงิน and fs_category is หนี้สินและส่วนของเจ้าของ หนี้สิน. The most relevant item in the Taxonomy list is เจ้าหนี้ภาษีค้างจ่าย with set_code 204010 because the item's meaning is ภาษีหรืออากรค้างจ่าย, which is related to ค่าใช้จ่ายค้างจ่าย. | "
เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้,,,เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้,209900,209999,False,False,"200200-เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้-รายการระหว่างธนาคารและตลาดเงิน-The input name suggests that this is a liability to financial institutions from the purchase of receivables. Although no item in the taxonomy perfectly matches this description, ""รายการระหว่างธนาคารและตลาดเงิน"" (Interbank and Money Market Items) is the closest match as it includes liabilities from transactions with financial institutions. | "
รวมหนี้สิน,309999,รวมหนี้สินและส่วนของเจ้าของ,รวมหนี้สิน,209999,309999,False,True,
ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,,,ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,319913,319910,False,False,"319914-ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน-ส่วนเกิน (ต่ำกว่า) ทุน ส่วนเกิน (ต่ำกว่า) ทุนจากการวัดมูลค่าเงินลงทุนในตราสารทุนด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น-The query mentions ""ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน"" which closely resembles the definition of  ""ส่วนเกินหรือส่วนต่ำกว่า ทุนจากการวัดมูลค่าเงินลงทุนในตราสารทุนด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น"" in the taxonomy list. Considering the input metadata specifies ""fs_category"" as ""หนี้สินและส่วนของเจ้าของ"", it aligns with the broader category of the selected taxonomy item. | "
รวมส่วนของเจ้าของ,,,รวมส่วนของเจ้าของ,309998,309999,False,False,
กำไรจากการขายผ่อนชำระ,,,กำไรจากการขายผ่อนชำระ,410200,409994,False,False,"<NA>-กำไรจากการขายผ่อนชำระ-nan-There is no item in the provided taxonomy list that seems to closely relate to the input query ""กำไรจากการขายผ่อนชำระ"". Therefore, I cannot provide a suitable mapping. | <NA>-กำไรจากการขายผ่อนชำระ-nan-There is no item in the taxonomy that seems to directly correspond to ""กำไรจากการขายผ่อนชำระ"" (Profit from Installment Sales) in the provided context. Therefore, I cannot provide a suitable mapping. | "
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),,,ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),422601,429800,False,False,"432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT METADATA states that fs_category is ค่าใช้จ่ายจากการดำเนินงานอื่น. The query mentions both ""ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" and ""โอนกลับ"".  Therefore, the most relevant item in the Taxonomy list is ""ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" with SET Code 432602. | 432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT METADATA states that fs_category is ค่าใช้จ่ายจากการดำเนินงานอื่น. The query mentions both ""ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" and ""โอนกลับ"", indicating a reversal of impairment loss. Therefore, the most relevant item in the Taxonomy list is ""ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" with SET Code 432602. | "
ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,,,ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,429890,429800,False,False,422601-ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย-ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย-The most relevant item in the taxonomy list is ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย based on the input 'ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย' and the provided context. The closest fs_category is 'กำไรขาดทุน' which is related to ค่าใช้จ่ายจากการดำเนินงานอื่น. | 422601-ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย-ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย-The INPUT fs_category is ค่าใช้จ่ายจากการดำเนินงานอื่น and the closest item_in_taxonomy is ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย | 
ค่าใช้จ่ายภาษีเงินได้,,,ค่าใช้จ่ายภาษีเงินได้,439800,409995,False,False,"429830-ค่าใช้จ่ายภาษีเงินได้-ค่าภาษีเงินได้-The most relevant item from the provided taxonomy list is 'ค่าภาษีอากร' because this is the closest match to the input query 'ค่าใช้จ่ายภาษีเงินได้'.

Although the input mentions 'ภาษีเงินได้', the taxonomy list does not contain a specific item for 'ค่าใช้จ่ายภาษีเงินได้'. Therefore, 'ค่าภาษีอากร' is chosen as the most suitable match. | 429840-ค่าใช้จ่ายภาษีเงินได้-ภาษีเงินได้-The INPUT is ค่าใช้จ่ายภาษีเงินได้ and financial_statement_type is งบกำไรขาดทุนเบ็ดเสร็จ  สำหรับงวดหกเดือนสิ้นสุดวันที่ 30 มิถุนายน 2567 และ 2566, fs_category is null. Therefore, the most relevant item_in_taxonomy is ภาษีเงินได้. | "
กำไรสำหรับงวด,,,กำไรสำหรับงวด,460100,,False,False,"409991-กำไรสำหรับงวด-กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง-The input name 'กำไรสำหรับงวด' closely resembles the item 'กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง' in the taxonomy list, and the fs_category is related to null because the input metadata fs_category is null. | 409991-กำไรสำหรับงวด-กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง-The most relevant item from the provided taxonomy list is กำไร (ขาดทุน) สุทธิ สำหรับงวด / กำไร (ขาดทุน) จากการดำเนินงานต่อเนื่อง as it closely resembles the input query 'กำไรสำหรับงวด'. | "
กำไรจากการขายผ่อนชำระ,,,กำไรจากการขายผ่อนชำระ,410200,409994,False,False,"<NA>-กำไรจากการขายผ่อนชำระ-nan-There is no item in the provided taxonomy list that seems to closely relate to the input query ""กำไรจากการขายผ่อนชำระ"". Therefore, I cannot provide a suitable mapping. | <NA>-กำไรจากการขายผ่อนชำระ-nan-There is no item in the taxonomy that seems to directly correspond to ""กำไรจากการขายผ่อนชำระ"" (Profit from Installment Sales) in the provided context. Therefore, I cannot provide a suitable mapping. | "
ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),,,ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ),422601,429800,False,False,"432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT METADATA states that fs_category is ค่าใช้จ่ายจากการดำเนินงานอื่น. The query mentions both ""ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" and ""โอนกลับ"".  Therefore, the most relevant item in the Taxonomy list is ""ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" with SET Code 432602. | 432602-ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย(โอนกลับ)-ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย-The INPUT METADATA states that fs_category is ค่าใช้จ่ายจากการดำเนินงานอื่น. The query mentions both ""ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" and ""โอนกลับ"", indicating a reversal of impairment loss. Therefore, the most relevant item in the Taxonomy list is ""ค่าใช้จ่ายในการดำเนินงานอื่น (กลับรายการ) ขาดทุนจากการด้อยค่าทรัพย์สินรอการขาย"" with SET Code 432602. | "
ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,,,ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย,429890,429800,False,False,422601-ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย-ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย-The most relevant item in the taxonomy list is ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย based on the input 'ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย' and the provided context. The closest fs_category is 'กำไรขาดทุน' which is related to ค่าใช้จ่ายจากการดำเนินงานอื่น. | 422601-ค่าใช้จ่ายเกี่ยวกับทรัพย์สินรอการขาย-ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย-The INPUT fs_category is ค่าใช้จ่ายจากการดำเนินงานอื่น and the closest item_in_taxonomy is ค่าใช้จ่ายในการดำเนินงานอื่น ขาดทุนสุทธิจากการขายทรัพย์สินรอการขาย | 
