,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field matches the input metadata 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[656738353, 1406579939, 656738353, 1406579939]"
1,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,"The query 'ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list. The 'fs_category' field in the Taxonomy list also matches the 'fs_category' provided in the input metadata. Therefore, the correct SET Code is '100900'.",งบฐานะการเงิน,สินทรัพย์,"[238206538, 27877483, 238206538, 27877483]"
2,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,The query 'ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า' directly matches the 'item_in_taxonomy' in the Taxonomy list with the same name.  The 'financial_statement_type' is 'BS_A' which corresponds to the input metadata 'งบฐานะการเงิน'.,งบฐานะการเงิน,สินทรัพย์,"[922052590, 613040290, 922052590, 613040290]"
3,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The query 'สินทรัพย์อนุพันธ์' directly matches the 'item_in_taxonomy' in the taxonomy list. Since the input metadata specifies 'financial_statement_type' as 'งบฐานะการเงิน' and 'fs_category' as 'สินทรัพย์', this aligns with the taxonomy list entry. ",งบฐานะการเงิน,สินทรัพย์,"[29999000, 32103050, 29999000, 32103050]"
4,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,เงินลงทุนที่ไม่ได้วางเป็นประกัน,"The input name 'เงินลงทุนที่ไม่ได้วางเป็นประกัน' is an exact match to the item 'เงินลงทุนที่ไม่ได้วางเป็นประกัน' in the taxonomy list. And the input metadata financial_statement_type is 'งบฐานะการเงิน' which is mapped to 'BS_A' and fs_category is 'สินทรัพย์' which is also matched to the taxonomy. Thus, the set code '101660' is selected.",งบฐานะการเงิน,สินทรัพย์,"[394993208, 562351983, 394993208, 562351983]"
5,เงินลงทุนที่วางเป็นประกัน เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิ ผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101671,เงินลงทุนที่วางเป็นประกัน เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,"The input matches the item_in_taxonomy ""เงินลงทุนที่วางเป็นประกัน เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง"" in the Taxonomy list. Also, financial_statement_type and fs_category matched.",งบฐานะการเงิน,สินทรัพย์,"[31580823, 31580823, 31580823, 31580823]"
6,เงินให้กู้ยืมแก่กิจการที่เกี่ยวข้องกัน,102520,เงินให้กู้ยืม บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input query ""เงินให้กู้ยืมแก่กิจการที่เกี่ยวข้องกัน""  clearly refers to loans given to related parties, aligning with the definition of  ""เงินให้กู้ยืม บุคคลหรือกิจการที่เกี่ยวข้องกัน"" in the taxonomy list. This taxonomy item's fs_category is สินทรัพย์, aligning with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[9982291271, 9154248219, 9982291271, 9154248219]"
7,เงินให้กู้ยืมแก่กิจการอื่น,102510,เงินให้กู้ยืม บุคคลหรือกิจการอื่น,The input name 'เงินให้กู้ยืมแก่กิจการอื่น' is similar to 'เงินให้กู้ยืม บุคคลหรือกิจการอื่น' and the fs_category 'สินทรัพย์' matched with the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[0, 0, 0, 0]"
8,เงินลงทุนในบริษัทร่วม,102720,เงินลงทุนในบริษัทร่วม,The input name 'เงินลงทุนในบริษัทร่วม' is an exact match with the item_in_taxonomy 'เงินลงทุนในบริษัทร่วม' in the taxonomy list. The input metadata financial_statement_type is 'งบฐานะการเงิน' which maps to 'BS_A' and fs_category is 'สินทรัพย์' which is also a match in the taxonomy list. ,งบฐานะการเงิน,สินทรัพย์,"[0, 0, 1145410000, 1145410000]"
9,ส่วนปรับปรุงอาคารและอุปกรณ์,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input query 'ส่วนปรับปรุงอาคารและอุปกรณ์' relates to improvement of buildings and equipment, which falls under the broader category of Property, Plant and Equipment. Also, the input metadata specifies financial_statement_type as 'งบฐานะการเงิน' and fs_category as 'สินทรัพย์', which corresponds to 'BS_A' and 'สินทรัพย์' respectively in the Taxonomy list. Therefore, the most relevant item in the Taxonomy list is 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' with SET Code '103800'.",งบฐานะการเงิน,สินทรัพย์,"[55994129, 26114036, 55994129, 26114036]"
