,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,"เงินสดและรายการเทียบเท่าเงินสด 3.3, 5.1, 6.4",100100,เงินสดและรายการเทียบเท่าเงินสด,"The query \""เงินสดและรายการเทียบเท่าเงินสด 3.3, 5.1, 6.4\"" is an exact match to the item \""เงินสดและรายการเทียบเท่าเงินสด\"" in the taxonomy list. Thus, the SET code is \""100100\"".",งบฐานะการเงิน,สินทรัพย์,"[221194042, 260038833, 216166618, 255266661]"
1,รายได้ค่าธรรมเนียมและบริการค้างรับ จากธุรกิจจัดการลงทุน 6.4,101100,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,"The query ""รายได้ค่าธรรมเนียมและบริการค้างรับ จากธุรกิจจัดการลงทุน 6.4"" is an exact match to the item_in_taxonomy ""รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน"" in the taxonomy list. The fs_category is สินทรัพย์, which matches the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[144377989, 125646437, 144377989, 125646437]"
2,"เงินลงทุนที่ไม่ได้วางเป็นประกัน 3.4, 5.2, 6.4",101660,เงินลงทุนที่ไม่ได้วางเป็นประกัน,"The query ""เงินลงทุนที่ไม่ได้วางเป็นประกัน"" is an exact match for the item_in_taxonomy ""เงินลงทุนที่ไม่ได้วางเป็นประกัน"" in the taxonomy list. Thus, the set_code is ""101660"".",งบฐานะการเงิน,สินทรัพย์,"[870626980, 931956683, 504419355, 566822292]"
3,"เงินลงทุนที่วางเป็นประกัน 3.4, 5.2, 6.1",101670,เงินลงทุนที่วางเป็นประกัน,"The query mentions ""เงินลงทุนที่วางเป็นประกัน"" which directly matches the item ""เงินลงทุนที่วางเป็นประกัน"" in the taxonomy. The financial statement type is confirmed to be ""งบฐานะการเงิน"" which maps to ""BS_A"".",งบฐานะการเงิน,สินทรัพย์,"[1079200, 1079200, 1079200, 1079200]"
4,"เงินลงทุนในบริษัทย่อย 3.5, 5.3",102610,เงินลงทุนในบริษัทย่อย,"The INPUT 'เงินลงทุนในบริษัทย่อย' matches exactly with item_in_taxonomy 'เงินลงทุนในบริษัทย่อย' in the Taxonomy list. 
The value of financial_statement_type from INPUT METADATA matches the Taxonomy list. ",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 500074930, 500074930]"
5,"อาคารและอุปกรณ์ 3.6, 5.4",103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The INPUT 'อาคารและอุปกรณ์' combined with the INPUT METADATA 'financial_statement_type' of 'งบฐานะการเงิน' and 'fs_category' of 'สินทรัพย์' suggests that this is 'Property, Plant And Equipment - Net' based on matching the item meaning in the Taxonomy list.",งบฐานะการเงิน,สินทรัพย์,"[23555562, 22676780, 23555560, 22676778]"
6,"สินทรัพย์สิทธิการใช้ 3.7, 5.5",103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query mentions ""สินทรัพย์สิทธิการใช้"" which directly corresponds to the item ""สินทรัพย์สิทธิการใช้ - สุทธิ"" in the taxonomy list. Therefore, this is a direct match.",งบฐานะการเงิน,สินทรัพย์,"[187338224, 185107798, 187338224, 185107798]"
7,"สินทรัพย์ไม่มีตัวตน 3.8, 5.6",104100,สินทรัพย์ไม่มีตัวตน - สุทธิ,"The query mentions สินทรัพย์ไม่มีตัวตน,  and the provided context has multiple matching items. However, only one item has both  fs_category as สินทรัพย์ and financial_statement_type as BS_A. ",งบฐานะการเงิน,สินทรัพย์,"[18934915, 19539614, 18934913, 19539612]"
8,"สินทรัพย์ภาษีเงินได้รอการตัดบัญชี 3.13, 5.11",104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The query mentions ""สินทรัพย์ภาษีเงินได้รอการตัดบัญชี"" which directly matches the item ""สินทรัพย์ภาษีเงินได้รอตัดบัญชี"" in the taxonomy list. The  fs_category  also matches the input metadata: ""สินทรัพย์"".",งบฐานะการเงิน,สินทรัพย์,"[91787543, 90437240, 63387704, 62281618]"
9,"สินทรัพย์อื่น 5.7, 6.4",109900,สินทรัพย์อื่น - สุทธิ,"The input contains the keyword ""สินทรัพย์อื่น"" which directly matches the item ""สินทรัพย์อื่น - สุทธิ"" in the taxonomy list.  The input's fs_category is ""สินทรัพย์"" which also matches the fs_category of the selected taxonomy item.",งบฐานะการเงิน,สินทรัพย์,"[47692832, 46973055, 51198636, 56778460]"
10,"หนี้สินตามสัญญาเช่า 3.7, 5.8, 6.4",202400,หนี้สินตามสัญญาเช่า,"The query mentions ""หนี้สินตามสัญญาเช่า"" which directly matches the item ""หนี้สินตามสัญญาเช่า"" in the taxonomy.  The financial statement type is confirmed to be BS_L from the input metadata.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[191855315, 187708428, 191855315, 187708428]"
11,"ภาษีเงินได้ค้างจ่าย 3.13, 5.16",203000,ภาษีเงินได้นิติบุคคลค้างจ่าย,ภาษีเงินได้ค้างจ่าย is similar to ภาษีเงินได้นิติบุคคลค้างจ่าย and both belong to the fs_category หนี้สิน which is found in INPUT METADATA fs_category หนี้สินและส่วนของเจ้าของ,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[8941669, 5120518, 7717893, 3940648]"
12,"ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน 3.14, 5.9",202700,ประมาณการหนี้สินผลประโยชน์พนักงาน,"The query mentions ""ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน"" which directly translates to  ""Provision for Employee Benefits."" This aligns with the meaning of taxonomy in the provided context. Therefore, the most relevant item in the taxonomy is ""ประมาณการหนี้สินผลประโยชน์พนักงาน"" with SET Code 202700.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[121092916, 119878735, 121092916, 119878735]"
13,"ประมาณการหนี้สิน 3.9, 3.10, 5.10",202800,ประมาณการหนี้สิน,"The query mentions ""ประมาณการหนี้สิน"" which directly matches the item ""ประมาณการหนี้สิน"" in the taxonomy. Also, the  fs_category in the taxonomy item is หนี้สิน, which is related to the input metadata fs_category: หนี้สินและส่วนของเจ้าของ.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[1999167, 1998149, 1999167, 1998149]"
14,ค่าใช้จ่ายค้างจ่าย 6.4,202500,ค่าใช้จ่ายค้างจ่าย,"The query 'ค่าใช้จ่ายค้างจ่าย' is an exact match with the 'item_in_taxonomy' in the Taxonomy list.  Also, the 'fs_category' ('หนี้สิน') is related to the input metadata 'fs_category' ('หนี้สินและส่วนของเจ้าของ').",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[108981152, 131521737, 108916117, 131418852]"
