,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"The input name 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match with the 'item_in_taxonomy' in the Taxonomy list. And the input metadata 'financial_statement_type' is งบฐานะการเงิน, 'fs_category' is สินทรัพย์ which is matched the taxonomy.",งบฐานะการเงิน,สินทรัพย์,"[507098, 1786107, 340111, 1501939]"
1,เงินฝากธนาคารที่มีข้อจำกัดในการใช้,110300,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน,"The user's query 'เงินฝากธนาคารที่มีข้อจำกัดในการใช้' is about restricted bank deposits. Although the input does not specify whether it's current or non-current, most of the items in the context are current assets. Thus, we choose the current restricted deposit.",งบฐานะการเงิน,สินทรัพย์,"[6610, 7313, 0, 0]"
2,ลูกหนี้การค้าและลูกหนี้อื่น,112000,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,"The input name 'ลูกหนี้การค้าและลูกหนี้อื่น' is a broader term that could include both trade and loan receivables. Since no specific item in the taxonomy directly corresponds to this broad term, we choose the closest parent item that encompasses both, which is 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ'.",งบฐานะการเงิน,สินทรัพย์,"[434102, 638485, 40823, 51951]"
3,รายได้ค้างรับ,111100,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,"The input query 'รายได้ค้างรับ' is a general term. 
I found a close match in the provided taxonomy list with the item 'รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน' which refers to accrued income, aligning with the input.",งบฐานะการเงิน,สินทรัพย์,"[28377, 24190, 19723, 17179]"
4,เบี้ยประกันภัยค้างรับ,212500,ค่าใช้จ่ายค้างจ่าย - หมุนเวียน,"The most relevant item from the provided taxonomy list is  'ค่าใช้จ่ายค้างจ่าย - หมุนเวียน' because, given the input 'เบี้ยประกันภัยค้างรับ' and the input metadata 'financial_statement_type' is 'งบฐานะการเงิน' and 'fs_category' is 'สินทรัพย์', this suggests liability. Therefore, I will use 'item_in_taxonomy' instead of 'fs_category' from the Taxonomy list.",งบฐานะการเงิน,สินทรัพย์,"[67280, 141556, 0, 0]"
5,สินทรัพย์จากการประกันภัยต่อ,119990,สินทรัพย์หมุนเวียนอื่น สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,"The meaning_of_taxonomy states that this item 'บางครั้งใช้ขื่อว่า สินทรัพย์จากการประกันภัยต่อ' which directly translates to 'sometimes called reinsurance assets'. Thus, this is the correct item.",งบฐานะการเงิน,สินทรัพย์,"[239924, 272928, 0, 0]"
6,ลูกหนี้จากสัญญาประกันภัยต่อ,112050,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ,"The closest match from the provided taxonomy list is  'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ' as it refers to receivables from loans, similar to receivables from reinsurance contracts.",งบฐานะการเงิน,สินทรัพย์,"[84462, 76720, 0, 0]"
7,เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี,112050,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ,"The query explicitly mentions ""เงินให้สินเชื่อ"" and ""ภายในหนึ่งปี"" which directly corresponds to the definition of ""ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ"" in the provided taxonomy list. ",งบฐานะการเงิน,สินทรัพย์,"[1071128, 1084990, 738676, 676690]"
8,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input query explicitly mentions short-term loans to related parties. This aligns with the definition of 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน' in the taxonomy list. Thus, this is the most appropriate match.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 12255000, 12628000]"
9,เงินให้กู้ยืมระยะยาวแก่บริษัทที่เกี่ยวข้องกันที่ถึงกำหนดชำระภายในหนึ่งปี,112420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,The input name mentioned  'เงินให้กู้ยืมระยะยาว' and 'บริษัทที่เกี่ยวข้องกัน' and 'ถึงกำหนดชำระภายในหนึ่งปี' which are related to taxonomy item 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน',งบฐานะการเงิน,สินทรัพย์,"[534003, 467489, 534003, 467489]"
