,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"The input query 'เงินสด' matches directly with the 'item_in_taxonomy' field 'เงินสด' in the taxonomy list.  Also, the input metadata 'fs_category' is 'สินทรัพย์ (ไม่ได้ตรวจสอบ)' which is related to 'fs_category' 'สินทรัพย์' in the taxonomy list. Thus, the selected 'set_code' is '100100'.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[35478716, 40675704, 0, 0]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The query 'รายการระหว่างธนาคารและตลาดเงินสุทธิ' is an exact match to the item 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' in the taxonomy list. Considering the provided financial_statement_type as 'งบฐานะการเงินรวม' and fs_category as 'สินทรัพย์ (ไม่ได้ตรวจสอบ)', the most relevant taxonomy item is 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' with SET Code '100200'.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[459883199, 436797171, 12661712, 3410933]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรม ผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,The query perfectly matches the meaning of taxonomy in one of the items in the provided taxonomy list. ,งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[138367442, 92534166, 13633673, 12292301]"
3,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"Found an exact match for the input query ""สินทรัพย์อนุพันธ์"" with fs_category ""สินทรัพย์"" in the taxonomy list.  The financial statement type is BS_A.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[53733094, 46981694, 40924, 788077]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,"INPUT: เงินลงทุนสุทธิ
INPUT METADATA: financial_statement_type is งบฐานะการเงินรวม. fs_category is สินทรัพย์ (ไม่ได้ตรวจสอบ).

The closest match found in the taxonomy list is 'เงินลงทุน - สุทธิ' with SET Code '101600'. This item matches the input as it refers to net investments and aligns with the provided metadata. ",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[346881082, 386162469, 0, 0]"
5,เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ,102700,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ,"The input query's name and the selected item in taxonomy's name are semantically similar. Both refer to net investment in subsidiaries, associates, and joint ventures. Although the input query does not specify the accounting method, the context implies that it could be any method other than the equity method. Thus, the selected item in taxonomy, which refers to investments recorded using methods other than the equity method, is chosen.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[1810075, 1970054, 507448947, 514995206]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The input query ""เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ"" is very similar to the item_in_taxonomy ""เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ"" in the taxonomy list, and the fs_category ""สินทรัพย์"" is also a match. Therefore, the most likely mapping is set_code ""102000"" and item_in_taxonomy ""เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ"".",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[2312513705, 2301044123, 145872187, 132731456]"
7,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is an exact match to part of the 'meaning_of_taxonomy' field in the Taxonomy list.  The other properties also match the criteria, making this the best match.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[27011483, 25930818, 0, 0]"
8,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,"The query 'อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list. Thus, the SET Code is '103700'.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[478032, 486264, 0, 0]"
9,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is related to property, plant, and equipment, which is a common term in financial reports. The input metadata specifies that the financial_statement_type is 'งบฐานะการเงินรวม' and fs_category is 'สินทรัพย์ (ไม่ได้ตรวจสอบ)'. In the taxonomy list, the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' with SET Code '103800' matches the query and the specified criteria.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[45314686, 45987817, 37971, 42233]"
