,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,Found exact match for input เงินสด in item_in_taxonomy with financial_statement_type is BS_A and fs_category is สินทรัพย์ as requested. ,งบฐานะการเงิน,สินทรัพย์,"[925740583, 905364960, 925410582, 904999960]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The input matches the item_in_taxonomy ""รายการระหว่างธนาคารและตลาดเงิน - สุทธิ"" in the taxonomy list. The financial statement type is BS_A and the fs_category is สินทรัพย์, as specified in the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[7116434326, 7594159441, 6858845108, 7272401446]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query matches the item  ""สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน"" in the taxonomy list. And the fs_category also matched with ""สินทรัพย์"".",งบฐานะการเงิน,สินทรัพย์,"[65183980838, 62089791643, 65183980838, 62089791643]"
3,สินทรัพย์ตราสารอนุพันธ์ทางการเงิน,103000,สินทรัพย์อนุพันธ์,The user is looking for financial derivative assets in the statement of financial position. The closest match in the taxonomy list is สินทรัพย์อนุพันธ์ with set code 103000,งบฐานะการเงิน,สินทรัพย์,"[70430856837, 60285765977, 70430856837, 60285765977]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,The input query 'เงินลงทุนสุทธิ' combined with the input metadata 'financial_statement_type is งบฐานะการเงิน. fs_category is สินทรัพย์.' suggests a match with the item 'เงินลงทุน - สุทธิ' in the taxonomy. This is confirmed by the matching 'fs_category' of 'สินทรัพย์' and the presence of 'บางครั้งใช้ชื่อว่า เงินลงทุนสุทธิ' in the 'meaning_of_taxonomy'.,งบฐานะการเงิน,สินทรัพย์,"[84634546423, 112778907674, 84433189101, 112776907674]"
5,เงินลงทุนในบริษัทย่อยสุทธิ,102710,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทย่อย,"The query 'เงินลงทุนในบริษัทย่อยสุทธิ' best matches the item 'เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทย่อย' in the taxonomy list given the provided context. Both refer to net investment in subsidiaries. The taxonomy item's meaning mentions using cost or fair value methods, aligning with the 'สุทธิ' (net) aspect of the query.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 2895420707, 2895420707]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,The input query directly matches the item 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the taxonomy list. And the financial statement type and fs_category also match the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[248417049147, 241101161846, 244601869758, 236437428410]"
7,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field matches the input metadata. Therefore, the correct SET Code is 103500 and the item is 'ทรัพย์สินรอการขาย - สุทธิ'.",งบฐานะการเงิน,สินทรัพย์,"[1434129133, 1386349656, 1074934174, 994476996]"
8,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input name 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is similar to the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the taxonomy list, and the fs_category matched the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[3388166554, 3469907514, 3248512421, 3320199563]"
9,สินทรัพย์สิทธิการใช้สุทธิ,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The input 'สินทรัพย์สิทธิการใช้สุทธิ' is an exact match to the 'item_in_taxonomy' in the Taxonomy list, and the 'fs_category' is 'สินทรัพย์' which is aligned with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[207832541, 190403853, 181428408, 155584729]"
10,สินทรัพย์ไม่มีตัวตนสุทธิ,104000,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ,The input name matches the meaning of taxonomy in the list. And the input metadata financial_statement_type and fs_category are matched.,งบฐานะการเงิน,สินทรัพย์,"[975561550, 958851181, 952459843, 936095365]"
11,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,The query 'สินทรัพย์ภาษีเงินได้รอตัดบัญชี' is an exact match with the 'item_in_taxonomy' in the taxonomy list. The 'financial_statement_type' is 'BS_A' and 'fs_category' is 'สินทรัพย์' which are aligned with the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[2052895550, 1915717788, 1125248823, 1147099168]"
12,เงินวางหลักประกันของตราสารอนุพันธ์,104600,หลักประกันตามสัญญาเครดิตซัพพอร์ทแอนเน็กซ์,"The input name and financial statement type match the criteria in the provided taxonomy list. The selected taxonomy item's meaning mentions เงินวางหลักประกันของตราสารอนุพันธ์, which aligns with the input query.",งบฐานะการเงิน,สินทรัพย์,"[18108739288, 12466327345, 18108739288, 12466327345]"
13,ลูกหนี้จากการขายสินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน,100620,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน สินทรัพย์ทางการเงินที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The input keyword indicates an asset measured at fair value through profit or loss. Although the input mentions ""ลูกหนี้"" (debtor), it refers to a financial asset, not a receivable from normal operations. Therefore, the closest match in the taxonomy is ""สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน สินทรัพย์ทางการเงินที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน"" under financial statement type BS_A.",งบฐานะการเงิน,สินทรัพย์,"[3066747389, 2069146301, 3066747389, 2069146301]"
14,สินทรัพย์อื่นสุทธิ,109900,สินทรัพย์อื่น - สุทธิ,"The query 'สินทรัพย์อื่นสุทธิ' is a close match to the item 'สินทรัพย์อื่น - สุทธิ' in the taxonomy list, and both have the same fs_category 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[2052107858, 1764489943, 1880135868, 1649086179]"
15,รวมสินทรัพย์,109999,รวมสินทรัพย์,"The input query's fs_category matched with the taxonomy list, and the input query is identical to values in the item_in_taxonomy field.",งบฐานะการเงิน,รวมสินทรัพย์,"[507994788017, 508976345122, 504967779145, 505400731463]"
16,เงินรับฝาก,200100,เงินรับฝาก,"The input query 'เงินรับฝาก' and financial statement type 'งบฐานะการเงิน' directly match with the 'item_in_taxonomy' in the Taxonomy list. Thus, the 'set_code' is '200100'.",งบฐานะการเงิน,หนี้สิน,"[268688904949, 257226835811, 269293558894, 257709581189]"
17,รายการระหว่างธนาคารและตลาดเงิน,200200,รายการระหว่างธนาคารและตลาดเงิน,"The input item name 'รายการระหว่างธนาคารและตลาดเงิน' matches exactly with the item_in_taxonomy 'รายการระหว่างธนาคารและตลาดเงิน' in the taxonomy list. And the input metadata financial_statement_type 'งบฐานะการเงิน' is matched to 'BS_L' in the taxonomy list. Thus, the set_code '200200' is selected.",งบฐานะการเงิน,หนี้สิน,"[52891412272, 77266565035, 52891412272, 77266565035]"
18,หนี้สินจ่ายคืนเมื่อทวงถาม,200300,หนี้สินจ่ายคืนเมื่อทวงถาม,The input item name 'หนี้สินจ่ายคืนเมื่อทวงถาม' is an exact match with the 'item_in_taxonomy' in the Taxonomy list. And the  'financial_statement_type' is 'BS_L' which is matched the input metadata 'financial_statement_type' is 'งบฐานะการเงิน'.,งบฐานะการเงิน,หนี้สิน,"[664886871, 521722822, 664886871, 521722822]"
