,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,The input name 'เงินสดและรายการเทียบเท่าเงินสด' is a perfect match in the taxonomy list with financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์.,งบฐานะการเงิน,สินทรัพย์,"[4285645, 2796656, 3614134, 2038586]"
1,ลูกหนี้การค้า,112040,ลูกหนี้การค้า,"The query matches the item_in_taxonomy ""ลูกหนี้การค้า"" in the taxonomy list. An item in taxonomy list with fs_category as สินทรัพย์ is selected.",งบฐานะการเงิน,สินทรัพย์,"[77985711, 78836213, 74250631, 75336612]"
2,ลูกหนี้อื่น,113130,สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น,"The INPUT is ลูกหนี้อื่น and the INPUT METADATA financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus, the most relevant item from the Taxonomy list is where set_code is 113130 and item_in_taxonomy is สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น.",งบฐานะการเงิน,สินทรัพย์,"[731752, 509062, 592972, 381926]"
3,ส่วนของเงินให้กู้ยืมระยะยาวแก่บริษัทย่อยที่ถึงกำหนดชำระภายในหนึ่งปี,112420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input keyword mentions  'เงินให้กู้ยืมระยะยาว' and 'ถึงกำหนดชำระภายในหนึ่งปี' which is similar to the definition and also clarified that the loan is for related parties, so the closest match from the taxonomy list is 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน'.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 29257, 28621]"
4,เงินให้สินเชื่อจากการซื้อลูกหนี้ที่คาดว่าจะได้รับชำระภายในหนึ่งปี,112050,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ,"The query refers to loans receivable expected to be settled within one year, aligning with the definition of 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ' (Current Portion Of Trade And Loan Receivables - Net Loan Receivables) in the taxonomy list. This item also corresponds to the provided 'fs_category' of 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[2047, 1590, 0, 0]"
5,ส่วนของเงินให้กู้ยืมประเภทด้อยสิทธิที่ถึงกำหนดชำระภายในหนึ่งปี,122400,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,"The query mentions an item related to a portion of long-term loans due within one year, which falls under the broader category of long-term loan receivables. The closest match in the provided taxonomy list is 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี' with set code '122400'.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 34215, 2441]"
6,จำนวนเงินส่วนร่วมในนิติบุคคลเฉพาะกิจเพื่อการแปลงสินทรัพย์ เป็นหลักทรัพย์,121600,เงินลงทุนระยะยาว - สุทธิ,"The input query's meaning is close to investment in a specific purpose entity for asset securitization. Although there is no directly matching item, ""เงินลงทุนระยะยาว - สุทธิ"" (Long-Term Investments - Net) is the closest match as it broadly covers various debt and equity instruments held for over 12 months.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 399096, 308045]"
7,ส่วนของสินทรัพย์อนุพันธ์ที่ถึงกำหนดชำระภายในหนึ่งปี,112200,ลูกหนี้ตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,"The input mentions an asset related to a lease that is due within one year. The taxonomy item ""ลูกหนี้ตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ"" (Current Portion Of Lease Receivables - Net) matches this description most closely.",งบฐานะการเงิน,สินทรัพย์,"[1408238, 1027407, 1408238, 1027407]"
8,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,114500,ภาษีเงินได้นิติบุคคลค้างรับ - หมุนเวียน,"The input name suggests that this is a current asset related to income tax. Although no item in the taxonomy list matches the input name exactly, the closest match is 'ภาษีเงินได้นิติบุคคลค้างรับ - หมุนเวียน' (Income Tax Receivable - Current) with set code 114500. Therefore, this item is selected.",งบฐานะการเงิน,สินทรัพย์,"[0, 115204, 0, 115204]"
9,สินทรัพย์สิทธิการใช้หมุนเวียน,123900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query mentions ""สินทรัพย์สิทธิการใช้"" which directly corresponds to multiple  ""สินทรัพย์สิทธิการใช้ - สุทธิ"" entries in the taxonomy. However, we need to consider the financial statement type and fs_category.  The input metadata specifies BS_A and สินทรัพย์, aligning with the taxonomy entry for ""สินทรัพย์สิทธิการใช้ - สุทธิ"". Therefore, this is the most suitable match.",งบฐานะการเงิน,สินทรัพย์,"[48966, 24610, 48681, 23958]"
