,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"The input 'เงินสด' matches directly with 'item_in_taxonomy' in the Taxonomy list. And the input metadata financial_statement_type งบฐานะการเงิน is also match with BS_A and fs_category สินทรัพย์ is also match with สินทรัพย์ in the Taxonomy list. Thus, the SET Code should be 100100.",งบฐานะการเงิน,สินทรัพย์,"[88659.0, 88659.0, 107495.0]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ - เงินฝากสถาบันการเงิน,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The input name implies that this is interbank and money market items. The input states that this is an asset, so the correct fs_category should be สินทรัพย์. Thus, the most relevant item in the taxonomy is รายการระหว่างธนาคารและตลาดเงิน - สุทธิ with SET Code 100200.",งบฐานะการเงิน,สินทรัพย์,"[995269.0, 995269.0, 1626245.0]"
2,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,"The user's query 'เงินลงทุนสุทธิ' directly matches the 'item_in_taxonomy' 'เงินลงทุน - สุทธิ' in the provided taxonomy list.  Therefore, the corresponding 'set_code' is '101600'.",งบฐานะการเงิน,สินทรัพย์,"[681907.0, 681907.0, 458950.0]"
3,เงินลงทุนในการร่วมค้า,102630,เงินลงทุนในการร่วมค้า,The input query and metadata match multiple items in the taxonomy.  Selecting the item with the shortest name as the best match.,งบฐานะการเงิน,สินทรัพย์,"[12500.0, 12500.0, 0.0]"
4,เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The input name closely resembles  ""เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ"" in the taxonomy list. Considering the input metadata specifies financial_statement_type as งบฐานะการเงิน and fs_category as สินทรัพย์, the closest match within the provided context is ""เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ"".",งบฐานะการเงิน,สินทรัพย์,"[79518217.0, 79518217.0, 77958811.0]"
5,ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,102050,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ เงินให้สินเชื่อแก่ลูกหนี้,"ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ matches the definition of เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ เงินให้สินเชื่อแก่ลูกหนี้ in the taxonomy list. Therefore, the most relevant mapping is set_code 102050, item_in_taxonomy เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ เงินให้สินเชื่อแก่ลูกหนี้.",งบฐานะการเงิน,สินทรัพย์,"[842176.0, 842176.0, 742185.0]"
6,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list, and other properties like 'financial_statement_type' and 'fs_category' also match the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[36115618.0, 36115618.0, 34947332.0]"
7,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input query 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is closely related to the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the provided taxonomy list.  Both terms refer to the same concept of tangible assets after deducting depreciation and impairment. Thus, the set code '103800' is chosen.",งบฐานะการเงิน,สินทรัพย์,"[1138090.0, 1138090.0, 1160763.0]"
8,สินทรัพย์สิทธิการใช้สุทธิ,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query 'สินทรัพย์สิทธิการใช้สุทธิ' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. Thus, the selected SET Code and Item in Taxonomy are highly likely to be correct.",งบฐานะการเงิน,สินทรัพย์,"[19244.0, 19244.0, 28787.0]"
9,สินทรัพย์ไม่มีตัวตนสุทธิ,104000,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ,"The input 'สินทรัพย์ไม่มีตัวตนสุทธิ' is related to intangible assets, and after reviewing the provided Taxonomy list, the closest match is 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ' with SET Code '104000'.",งบฐานะการเงิน,สินทรัพย์,"[188501.0, 188501.0, 187181.0]"
