,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,The input name 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match with the item 'เงินสดและรายการเทียบเท่าเงินสด' in the taxonomy list. And the fs_category matched the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[5256461, 3962372, 237185, 1560574]"
1,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยวิธีราคาทุนตัดจำหน่าย,111630,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,The input name can be mapped to multiple taxonomies.  The most relavant taxonomy is meaning_of_taxonomy 'หมายถึง เงินลงทุนในตราสารหนี้ซึ่งบริษัทคาดว่าจะถือครองไม่เกิน 12 เดือนที่ถือไว้เพื่อรับชำระกระแสเงินสดจากเงินต้นและดอกเบี้ย (Held to collect) ซึ่งตราสารหนี้ที่บริษัทไปลงทุนดังกล่าวจะต้องผ่านเงื่อนไขการจ่ายชำระด้วยเงินต้นและดอกเบี้ย (Solely payments of principal and interest หรือ SPPI test) คือ เงินสดที่จะได้รับชำระจะต้องมีเพียงองค์ประกอบของเงินต้นและดอกเบี้ยเท่านั้น โดยแสดงมูลค่าสุทธิหลังจากหักค่าเผื่อผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้นของเงินลงทุน ' with set_code 111630 and item_in_taxonomy เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,งบฐานะการเงิน,สินทรัพย์,"[530, 529, 0, 0]"
2,ที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,112000,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,"The input name mentions ""ที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ"" and the input metadata specifies financial_statement_type as งบฐานะการเงิน and fs_category as สินทรัพย์. The closest matching item in the taxonomy list is ""ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ"" with set code 112000, which falls under financial_statement_type BS_A and fs_category สินทรัพย์หมุนเวียน.",งบฐานะการเงิน,สินทรัพย์,"[8, 61243019, 59287195, 0, 0]"
3,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกันและดอกเบี้ยค้างรับ,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,The input query explicitly mentions short-term loans and accrued interest related to related parties.  This aligns perfectly with the definition provided in the taxonomy list for 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน' (Short-Term Loan And Interest Receivables Related Parties).,งบฐานะการเงิน,สินทรัพย์,"[0, 0, 50730996, 43529464]"
4,ที่ถึงกำหนดชำระภายในหนึ่งปี,null,null,"There is no item in the taxonomy list with the property fs_category related to สินทรัพย์. Therefore, I cannot provide a suitable SET Code and Item in Taxonomy.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 3570000, 6562200]"
5,ดอกเบี้ยค้างรับจากเงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,122420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input query indicates an item related to long-term loan receivables from related parties. Although the input mentions interest specifically, the most appropriate category in the taxonomy encompasses both principal and interest. Considering the input's financial statement type is BS_A, the closest match is 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน' with SET Code '122420'.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 15212, 27644]"
6,ลูกหนี้อื่น,113130,สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น,"The input name 'ลูกหนี้อื่น' matches the meaning_of_taxonomy 'บางครั้งใช้ชื่อว่า ลูกหนี้อื่น' in the Taxonomy list. The input metadata financial_statement_type งบฐานะการเงิน matches BS_A and fs_category สินทรัพย์ matches สินทรัพย์หมุนเวียน in the Taxonomy list. Thus, the SET Code should be 113130 and Item in Taxonomy should be สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น",งบฐานะการเงิน,สินทรัพย์,"[3197288, 3081864, 21396, 11673]"
7,ทรัพย์สินรอการขาย - สุทธิ,113500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขาย - สุทธิ' matched with item_in_taxonomy 'ทรัพย์สินรอการขาย - สุทธิ' in the Taxonomy list.  The value of fs_category in the Taxonomy list item is สินทรัพย์หมุนเวียน, which is related to the input metadata fs_category: สินทรัพย์.",งบฐานะการเงิน,สินทรัพย์,"[1909898, 1650328, 0, 0]"
8,สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,The input query 'สินทรัพย์หมุนเวียนอื่น' and financial_statement_type งบฐานะการเงิน directly match the item_in_taxonomy 'สินทรัพย์หมุนเวียนอื่น' in the Taxonomy list. ,งบฐานะการเงิน,สินทรัพย์,"[214215, 228019, 1701, 1701]"
9,รวมสินทรัพย์หมุนเวียน,119999,รวมสินทรัพย์หมุนเวียน,The query 'รวมสินทรัพย์หมุนเวียน' is a perfect match with the 'item_in_taxonomy' in the Taxonomy list.  The 'fs_category' ('สินทรัพย์หมุนเวียน') is also related to the input metadata 'fs_category' ('สินทรัพย์').,งบฐานะการเงิน,สินทรัพย์,"[71821411, 68210307, 54576490, 51693256]"
