,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the item 'เงินสดและรายการเทียบเท่าเงินสด' in the provided taxonomy list. The taxonomy list item also has matching criteria for 'financial_statement_type' ('งบฐานะการเงิน' maps to 'BS_A') and 'fs_category' ('สินทรัพย์').,งบฐานะการเงิน,สินทรัพย์,"[507677456, 906044056, 128745806, 129657897]"
1,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,100700,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,"The input 'หลักทรัพย์ซื้อโดยมีสัญญาขายคืน' matches exactly with item_in_taxonomy 'หลักทรัพย์ซื้อโดยมีสัญญาขายคืน' in the Taxonomy list. This item's fs_category is 'สินทรัพย์', aligning with the input metadata. Thus, the correct SET Code is '100700'.",งบฐานะการเงิน,สินทรัพย์,"[2490000000, 7347183770, 2490000000, 7347183770]"
2,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,"The query matches the item_in_taxonomy ""ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์"" in the Taxonomy list. This item's fs_category is สินทรัพย์, aligning with the INPUT METADATA.",งบฐานะการเงิน,สินทรัพย์,"[134376416, 968106808, 134376416, 968106808]"
3,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,"The query \""ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า\"" is an exact match for the item \""ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า\"" in the taxonomy list. The fs_category property \""สินทรัพย์\"" also matches the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[6476997590, 6999163128, 6476997590, 6999163128]"
4,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,101100,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,"The query perfectly matches the item ""รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน"" in the provided taxonomy list, and the  financial statement type is BS_A, so this item is selected.",งบฐานะการเงิน,สินทรัพย์,"[113944261, 136658136, 0, 0]"
5,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input name 'สินทรัพย์อนุพันธ์' is an exact match with the 'item_in_taxonomy' in the Taxonomy list, and the 'fs_category' is 'สินทรัพย์' which is aligned with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[120281244, 153795749, 120281244, 153795749]"
6,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,เงินลงทุนที่ไม่ได้วางเป็นประกัน,"The query 'เงินลงทุนที่ไม่ได้วางเป็นประกัน' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list. Additionally, the 'fs_category' field matches the provided 'fs_category'.",งบฐานะการเงิน,สินทรัพย์,"[4622595129, 4675098579, 4076812085, 4441306658]"
7,เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101671,เงินลงทุนที่วางเป็นประกัน เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,"The query 'เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง' is an exact match to the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field matches the input metadata 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[8872519, 8896529, 0, 0]"
8,เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101672,เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,"The input name 'เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง' is an exact match with item_in_taxonomy 'เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง' in the Taxonomy list. And the input metadata financial_statement_type 'งบฐานะการเงิน' is equal to 'BS_A' in the Taxonomy list. Thus, the SET Code should be '101672'.",งบฐานะการเงิน,สินทรัพย์,"[588772883, 978329214, 588772883, 978329214]"
9,เงินลงทุนในบริษัทย่อย,102710,เงินลงทุนในบริษัทย่อย,"The INPUT 'เงินลงทุนในบริษัทย่อย' matches exactly with item_in_taxonomy in the Taxonomy list. And the value of fs_category matched the INPUT METADATA. Thus, the SET Code should be 102710.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 3258046935, 3163086322]"
