,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"The query 'เงินสด' matches directly with the 'item_in_taxonomy' 'เงินสด' in the taxonomy list.  Also, the 'fs_category' ('สินทรัพย์') in the taxonomy list aligns with the input metadata 'fs_category'.",งบฐานะการเงิน,สินทรัพย์,"[24662778, 28169604, 22702027, 25127673]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The input name 'รายการระหว่างธนาคารและตลาดเงินสุทธิ' is very similar to the item 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' in the taxonomy list. Thus, the SET code is 100200.",งบฐานะการเงิน,สินทรัพย์,"[524632695, 507974332, 501846916, 489172830]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,The query 'สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' is an exact match to the 'item_in_taxonomy' field in the taxonomy list.  The taxonomy list item also has matching 'fs_category' and 'financial_statement_type'.,งบฐานะการเงิน,สินทรัพย์,"[3345144, 1740461, 2303149, 622531]"
3,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input item name is สินทรัพย์อนุพันธ์ and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus, the matched Taxonomy item is สินทรัพย์อนุพันธ์ with set_code 103000.",งบฐานะการเงิน,สินทรัพย์,"[37369353, 29055607, 37583142, 29257667]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,"The input query 'เงินลงทุนสุทธิ' is a close match to the item 'เงินลงทุน - สุทธิ' in the taxonomy list. The context also specifies that the input belongs to the 'สินทรัพย์' (assets) category, which aligns with the 'fs_category' of the matched item in the taxonomy. ",งบฐานะการเงิน,สินทรัพย์,"[137029713, 130538799, 131584335, 125353247]"
5,เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ,102600,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ,"The input query explicitly mentions ""เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้า"" and the context also includes this phrase. Thus, the selected item in the taxonomy is a suitable match.",งบฐานะการเงิน,สินทรัพย์,"[18523849, 17920515, 94779753, 90571525]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The query mentions 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ' and 'สุทธิ' which directly corresponds to the item 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the provided taxonomy list.  Also, both the query and the taxonomy item belong to the same fs_category 'สินทรัพย์' and financial statement type 'งบฐานะการเงิน'",งบฐานะการเงิน,สินทรัพย์,"[1915425270, 1942699757, 1674012164, 1701804771]"
7,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is very similar to the 'ทรัพย์สินรอการขาย - สุทธิ' in the taxonomy list, and both have the same fs_category 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[5989690, 5555112, 5653587, 5226076]"
8,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is closely related to the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the taxonomy list. Both refer to tangible assets, and the query's mention of 'สุทธิ' (net) aligns with the taxonomy item's focus on the net value of these assets after deducting depreciation and impairment.",งบฐานะการเงิน,สินทรัพย์,"[36806308, 36327764, 31764154, 31764854]"
9,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,104000,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ,The query 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ' is a close match to the item 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ' in the provided taxonomy list. The taxonomy list item's fs_category is 'สินทรัพย์' which is related to the input metadata's fs_category 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[32995142, 31540062, 4253624, 3765833]"
10,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The input item name matches exactly with item_in_taxonomy: ""สินทรัพย์ภาษีเงินได้รอตัดบัญชี"" in the Taxonomy list. financial_statement_type is BS_A, which is consistent the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[5983068, 6086001, 468938, 284909]"
11,สินทรัพย์อื่นสุทธิ,109900,สินทรัพย์อื่น - สุทธิ,"The input name 'สินทรัพย์อื่นสุทธิ' is a close match to the item 'สินทรัพย์อื่น - สุทธิ' in the taxonomy list. Both share almost all the same words and their meaning implies a connection. Thus, the code 109900 is selected.",งบฐานะการเงิน,สินทรัพย์,"[30014802, 30686880, 20926563, 21919045]"
12,เงินรับฝาก,200100,เงินรับฝาก,"The input name 'เงินรับฝาก' and financial_statement_type 'งบฐานะการเงิน'  match the item 'เงินรับฝาก' in the Taxonomy list. Considering the fs_category  'หนี้สินและส่วนของเจ้าของ', the closest matching item from the Taxonomy list is 'เงินรับฝาก' with set code '200100'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[1916387708, 1839601001, 1888681363, 1815718538]"
13,รายการระหว่างธนาคารและตลาดเงิน,200200,รายการระหว่างธนาคารและตลาดเงิน,"The query 'รายการระหว่างธนาคารและตลาดเงิน' matches exactly with the item 'รายการระหว่างธนาคารและตลาดเงิน' in the taxonomy list. Considering the fs_category provided as input, 'หนี้สินและส่วนของเจ้าของ', the most relevant SET Code from the matching taxonomy items is '200200'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[232843043, 323995537, 188409496, 271279782]"
14,หนี้สินจ่ายคืนเมื่อทวงถาม,200300,หนี้สินจ่ายคืนเมื่อทวงถาม,The query 'หนี้สินจ่ายคืนเมื่อทวงถาม' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list.  The 'fs_category' is 'หนี้สิน' which is related to the input metadata 'fs_category' ('หนี้สินและส่วนของเจ้าของ'). The financial statement type is 'BS_L' which matches the input metadata 'financial_statement_type' ('งบฐานะการเงิน').,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[5512565, 4387336, 5512557, 4382140]"
15,หนี้สินอนุพันธ์,202100,หนี้สินอนุพันธ์,"The input item name is หนี้สินอนุพันธ์ and financial_statement_type is งบฐานะการเงิน, fs_category is หนี้สินและส่วนของเจ้าของ.  The taxonomy list item with item_in_taxonomy  หนี้สินอนุพันธ์,  fs_category  หนี้สิน and financial_statement_type BS_L matched.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[31354377, 32838856, 31755340, 33097354]"
16,ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,"The query 'ตราสารหนี้ที่ออกและเงินกู้ยืม' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field ('หนี้สิน') is related to the input metadata 'fs_category' ('หนี้สินและส่วนของเจ้าของ').",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[107602308, 104217056, 79586713, 78233476]"
17,ประมาณการหนี้สิน,202800,ประมาณการหนี้สิน,The query 'ประมาณการหนี้สิน' is a direct match to the 'item_in_taxonomy' field in the taxonomy list.  The 'fs_category' field also aligns with the input metadata 'หนี้สินและส่วนของเจ้าของ'.,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[12614480, 12212832, 9937545, 9662295]"
